Category,Test ID,User Story ID,Test Case Name,API Endpoint,HTTP Method,Test Type,Priority,Pre-Conditions,Request Headers,Request Body,Expected Status Code,Expected Response Fields,Test Steps,Validation Points,AUTOMATED
TestCase1: System,TC-SYS-001,US-SYS-001,Verify API health check returns success,/api/health,GET,Smoke,High,None,Content-Type: application/json,None,200,success=true | message='API is running' | timestamp,1. Send GET request to /api/health | 2. Verify response status 200 | 3. Validate response structure,Status code is 200 | Response is valid JSON | success field is true | message equals 'API is running' | timestamp is present and not empty | Response time < 1000ms,y
TestCase1: System,TC-SYS-002,US-SYS-002,Verify system health returns all data files status,/api/system/health,GET,Smoke,High,None,Content-Type: application/json,None,200,success=true | status='healthy' | data_files={all ok} | metrics={totals},1. Send GET request to /api/system/health | 2. Verify response status 200 | 3. Validate all data files | 4. Validate metrics,Status code is 200 | Response is valid JSON | success is true | status is 'healthy' | All data_files values are 'ok' | metrics contains total_orders/total_products/total_users | timestamp present | Response time < 1000ms,y
TestCase1: System,TC-SYS-003,US-SYS-003,Verify API documentation returns all endpoints,/api/docs,GET,Functional,High,None,Content-Type: application/json,None,200,success=true | title='E-Commerce API Documentation' | endpoints={} | total_endpoints | version | features=[],1. Send GET request to /api/docs | 2. Verify response status 200 | 3. Validate structure,Status code is 200 | Response is valid JSON | success is true | title is 'E-Commerce API Documentation' | version present | base_url starts with http | total_endpoints > 0 | endpoints object has categories | features array not empty,y
TestCase2: Authentication,TC-AUTH-001,US-AUTH-001,Verify user registration with valid data,/api/register,POST,Functional,High,None,Content-Type: application/json,"{""email"": ""test_<random>@gmail.com"", ""password"": ""Test@123"", ""name"": ""Test User"", ""is_admin"": false}",200,"success=true | message='User registered successfully' | data={id,email,name,is_admin,created_at,address,phone}",1. Generate random email | 2. Send POST with user data | 3. Verify status 201 | 4. Validate response,Status code is 201 | Response is valid JSON | success is true | message equals 'User registered successfully' | data.id is number | data.email matches input | data.name matches input | data.is_admin is false | created_at is timestamp | No password in response,y
TestCase2: Authentication,TC-AUTH-002,US-AUTH-001,Verify registration fails with duplicate email,/api/register,POST,Negative,Medium,User exists with email,Content-Type: application/json,"{""email"": ""<existing_email_used_in_TC-AUTH-001>"", ""password"": ""Test@123"", ""name"": ""Test"", ""is_admin"": false}",409,success=false | error='User already exists',1. Use existing email | 2. Send POST request | 3. Verify error,Status code is 409 | Response is valid JSON | success is false | error indicates duplicate email,y
TestCase2: Authentication,TC-AUTH-003,US-AUTH-001,Verify registration fails with missing required fields,/api/register,POST,Negative,Medium,None,Content-Type: application/json,"{""email"": ""test@test.com""}",400,success=false | error,1. Send POST with incomplete data | 2. Verify validation error,Status code is 400 | Response is valid JSON | success is false | error indicates missing fields,y
TestCase2: Authentication,TC-AUTH-004,US-AUTH-002,Verify user login with valid credentials,/api/login,POST,Functional,High,User registered,Content-Type: application/json,"{""email"": ""email_what_used_in_TC-AUTH-002"", ""password"": ""Test@123""}",200,"success=true | message='Login successful' | token | refresh_token | user={id,email,name,is_admin}",1. Send POST with valid credentials | 2. Verify status 200 | 3. Validate tokens | 4. Save tokens,Status code is 200 | Response is valid JSON | success is true | message is 'Login successful' | token present and not empty | refresh_token present | Both tokens are JWT format | user object has id/email/name/is_admin,y
TestCase2: Authentication,TC-AUTH-005,US-AUTH-002,Verify login fails with invalid password,/api/login,POST,Negative,High,User registered,Content-Type: application/json,"{""email"": ""test@test.com"", ""password"": ""WrongPass""}",401,success=false | error='Invalid credentials',1. Send POST with wrong password | 2. Verify error,Status code is 401 | Response is valid JSON | success is false | error indicates invalid credentials | No token returned,y
TestCase2: Authentication,TC-AUTH-006,US-AUTH-002,Verify login fails with non-existent user,/api/login,POST,Negative,High,None,Content-Type: application/json,"{""email"": ""notexist@test.com"", ""password"": ""Test@123""}",401,success=false | error='Invalid credentials',1. Send POST with non-existent email | 2. Verify error,Status code is 401 | Response is valid JSON | success is false | error indicates invalid credentials  | No token returned,y
TestCase2: Authentication,TC-AUTH-007,US-AUTH-003,Verify admin login with valid credentials,/api/login,POST,Functional,High,Admin account exists,Content-Type: application/json,"{""email"": ""admin@test.com"", ""password"": ""admin123""}",200,success=true | message='Login successful' | token | refresh_token | user={is_admin=true},1. Send POST with admin credentials | 2. Verify status 200 | 3. Validate admin flag | 4. Save tokens,Status code is 200 | Response is valid JSON | success is true | user.is_admin is true | Both tokens present and valid JWT | Token saved for admin operations,y
